carModel:str=None,power:num=0,comfort:num=0,handing:num=0,space:num=0,allocation:num=0,interior:num=0
Huracan_EVO,3.8,4.2,4.3,4.2,3.8,3.1
Mclaren_720s,5.0,3.3,3.7,3.7,4.0,3.1
McLaren_620R,3.1,3.5,4.5,3.9,4.0,3.1
McLaren_Senna,4.0,3.9,3.9,4.4,3.6,3.3
McLaren_765lt,4.8,4.5,4.0,4.8,4.5,3.1
Ferrari_SF90_Spider,3.1,3.1,3.8,3.5,3.7,3.1
Porsche_718,4.9,4.2,3.3,3.0,4.0,3.4
McLaren_P1,4.4,3.4,4.6,3.6,4.5,3.0
Lamborghini_Centenario770,3.5,3.2,3.5,3.9,4.9,5.0
Bugatti_Divo,3.1,4.9,3.3,3.4,3.6,4.0
Mclaren_2018,4.4,4.1,4.9,4.7,3.9,3.9
Lamborghini_lp550_spyder,4.0,3.7,3.2,4.7,4.3,4.6
myvi6_Gen2,4.5,3.9,3.1,3.3,3.8,4.1
Chevrolet_Corvette_ZR1,4.2,3.8,3.5,4.3,3.2,4.1
McLaren_570S,4.4,4.2,3.0,4.4,4.6,3.7
Lotus_Evija_Fittipaldi,3.2,3.2,4.0,4.6,4.3,4.6
McLaren_570GT,4.6,4.3,4.3,3.6,3.0,4.6
Koenigsegg,4.3,3.6,4.2,4.5,3.6,4.0
myvi8_extreme1.5,4.5,3.2,4.0,3.8,3.9,4.5
Ford_GT_2017,4.7,4.5,3.3,3.6,3.4,3.1
McLaren_GT,4.9,4.5,4.2,4.9,3.3,3.4
Bugatti_Bolide,3.0,3.7,3.6,3.2,4.2,3.8
Ford_GT67_Heritage,4.8,3.1,3.7,3.7,3.4,4.3
Lamborghini_Superleggera,3.1,3.8,4.2,4.0,4.1,4.4
Maserati_MC20,3.5,4.4,3.9,4.2,4.3,4.0
Wuling_Sunshine_S,3.7,4.8,4.7,3.9,4.7,3.8
Noble_M500,4.8,4.9,4.7,4.0,3.4,4.7
Chevrolet_Corvette,3.1,4.5,4.1,3.8,5.0,4.4
Ferrari_California,4.4,4.2,3.2,4.7,3.4,3.3
Maserati_GTS,3.2,3.6,3.3,3.2,3.2,4.7
Terzo_Millennio,4.2,4.4,3.7,4.7,3.4,4.9
Toyota_GR_Supra,3.8,4.5,4.4,4.5,4.5,3.4
Honda_Acura_NSX,4.0,4.2,3.3,4.7,4.7,3.5
